RowNumber,ItemSN,ItemName,Unit,NationalAMC
1,362,Acetazolamide - 250mg - Tablet,10x10,1680
2,31,Acetylsalicylic Acid - 81mg - Tablet( Enteric Coated),20x10,12774
3,56889,Actinomycin-D (Dactinomycin) - 0.5mg in Vial - Powder for injection,Each,550
4,173,Acyclovir - 200mg - Capsule,10x10,3866
5,306,Acyclovir - 3% - Eye Ointment,4.5 gm,2288
6,63314,Acyclovir - 500mg - Powder for Injection (Lyophilized),Each,652
7,56977,Adhesive Plaster Zinc Oxide - 7.5cm x 10m,Each,64059
8,1486,Adrenaline (Epinephrine) - 0.1% in 1ml Ampoule - Injection,10   ,8654
9,59774,ADVIA 560 - 5 Part Diff Consumable - ,1L,138
10,59775,"ADVIA 560 - 5 Part Tri-Level (L, N, H) Control - ",6x3ml,25
11,59748,ADVIA 560 - Calibrator - ,2X3ML,14
12,59747,ADVIA 560 - Diluent - ,20L,438
13,59750,ADVIA 560 - Hypoclean - ,100ml,76
14,59776,ADVIA 560 - Lyse - ,5L,204
15,63784,ADVIA 560 - Thermal Paper - ,Roll,0
16,196,Albendazole - 100mg/5ml - Oral Suspension,20ml,50814
17,455,Albendazole - 400mg - Tablet,10x10,7600
18,67293,Albuterol sulfate - 4mg - Tablet,10x10,0
19,57571,Alfacalcidol - 0.25mcg - Tablet,10x10,35
20,55343,All Trans Retinoic Acid (ATRA) - 10mg - Tablet,30,80
21,54958,Allopurinol - 100mg - Tablet,10x5,2264
22,54597,Alphacalcidiol - 0.5 mcg - Capsule,10x10,20
23,64381,Aluminium Hydroxide + Magnesium Hydroxide + Simethicon + Sodium Alginate - (125mg+250mg+50mg+100mg)/5ml - Suspension,200ml,162279
24,54732,Aminophyline - 250mg/10ml in 10ml Ampoule - Injection,5,3780
25,894,Amiodarone - 100mg - Tablet,10x3,350
26,74,Amitriptyline - 25mg - Tablet,10x10,14840
27,747,Amlodipine - 5mg - Tablet,10x10,15791
28,54334,Amoxicillin - 250mg/5ml - Oral Suspension,100ml,383840
29,118,Amoxicillin - 500mg - Capsule,50X10,65980
30,56825,Amoxicillin + Clavulanic Acid - (200mg + 28.5mg)/5ml - Oral Suspension,100ml,36570
31,938,Amoxicillin + Clavulanic Acid - (250mg + 62.5mg)/5ml - Oral Suspension,100ml,52452
32,56823,Amoxicillin + Clavulanic Acid - (500mg + 125mg) - Tablet,5x3,158005
33,55867,Ampicillin Sodium - 500mg in Vial - Injection,50,12873
34,56900,Anastrazole - 1mg - Tablet,30,850
35,57253,Anti-haemorrhoidal (Betamethasone Valerate + Phenylephrine HCl + Lidocaine HCl) - (0.5mg + 1mg + 25mg) - Ointment,20gm,26269
36,54860,Anti-haemorrhoidal (Hydrocortisone + Framycetin + Cinchocaine + Esculoside) - (5mg + 10mg + 5mg  10mg) - Suppository ,10   ,8806
37,55099,Anti-Rho (D) Immune Globulin - 300mcg in 2ml Vial - Injection,Each,3134
38,56202,Applicator Stick Wooden with Cotton Tip - 15cm x 2.2mm,100,0
39,2423,Applicator Wooden Stick - 15cm Long x diam. 2.5mm with Cotton,100,6274
40,56188,Applicator Wooden Stick with out Cotton Tip  - 15cm x 2.5mm,100,6765
41,55570,Apron Plastic Protection Against Most Chemicals - 80x120cm,Each,3490
42,55732,Arsenic Trioxide (ATO) - 1mg/1ml in 10ml Ampoule - Injection,Each,75
43,349,Atenolol - 50mg - Tablet,10x10,4409
44,64207,Atorvastatin - 40mg - Tablet,10x3,8128
45,50555,Atropine Sulphate - 1% eye drop,10ml,1280
46,55602,Atropine Sulphate - 1mg/ml in 1ml Ampoule - Injection,10x10,850
47,52081,Atrovastatin - 20mg - Tablet,10x10,12747
48,60856,Autoclave Indicator Tape - 1.9cmx5cm - ,Each,1745
49,54997,Azacitidine - 100mg in vial - Powder for Injection (Lyophilized),Each,75
50,53729,Azathioprine - 50mg - Tablet (Film Coated),10x5,110
51,51511,Azithromycin  - 500mg - Tablet,10x3,22135
52,52506,Azithromycine - 200mg/5ml - Oral Suspension,15ml,20103
53,56989,Bandage Elastic - 8cm x 5m,Each,30340
54,57356,Basiliximab - 20mg - Injection,Vial,8
55,54980,Beclometasone Dipropionate - 100mcg/dose - Aerosol (Oral Inhalation),200metered dose,14203
56,55243,Bendamustine Hydrochloride - 100mg in vial - Powder for Injection (Lyophilized),Each,231
57,1388,Benzhexol (Trihexyphenidyl HCL) - 2mg - Tablet,10x10,1061
58,1389,Benzhexol (Trihexyphenidyl HCL) - 5mg - Tablet,10x10,1042
59,1022,Betametasone Valarate - 0.1% - Cream,15gm,7262
60,1534,Betamethasone - 0.5mg - Tablet,10x10,169
61,64495,Betamethasone - 4mg/ml in 1ml Ampoule - Injection,5,410
62,63651,Betamethosone Diproprionate - 0.05% - Ointment,20gm,8468
63,5452,Bicalutamide - 50mg - Tablet,10x3,45
64,15,Bisacodyl - 5mg - Tablet,10x10,5335
65,54498,Bleomycine Sulphate - 15IU in Vial - Powder for Injection (Lyophillized),Each,470
66,57466,Blood Collecting  Bag CPDA1 Anticoagulant Quadruple - 450ml,Each,1485
67,57004,"Blood Collecting Bag  - Triple CPDAI Anticoagulant, 450ml - ",Each,229
68,57326,"Blood Collecting Bag, Single CPDA Anticoagulant - 350ml - ",Each,551
69,4710,Blood Transfusion Set  - ,Each,1341
70,54243,Bortezomib - 3.5mg in Vial - Powder for Injection (Lyophillized),Each,107
71,491,Bromazepam - 3mg - Tablet,10x10,325
72,1595,Bromocriptine Mesylate - 2.5mg - Tablet,10x3,193
73,1596,Bupivacaine  - 0.5% in 10ml ampoule - Injection,5,4876
74,862,Calcium Carbonate - 500mg - Tablet,10x10,170
75,235,Calcium Gluconate - 10% in 10ml ampoule - Injection,10   ,1584
76,55938,Cannula Intravenous Set - 16G ,100,638
77,54170,Cannula Intravenous Set - 18G ,100,5891
78,55816,Cannula Intravenous Set - 20G ,100,2700
79,54172,Cannula Intravenous Set - 22G,100,3453
80,54290,Cannula Intravenous Set - 24G,100,8348
81,54959,Capecitabine - 500mg - Tablet,10x3,1326
82,385,Captopril - 25mg - Tablet,10x10,844
83,54590,Carbamazepine - 100mg/5ml - Syrup,100ml,535
84,77,Carbamazepine - 200mg - Tablet,10x10,18898
85,1571,Carbimazole - 5mg - Tablet,10x10,312
86,67597,Carboplatin  - 450mg /45ml in Vial - Injection,Each,503
87,56419,Cat Gut Chromic - Gauge 2.0(4/0) 75cm on 15mm 1/2 Circle Reverse Cutting Needle,Dozen,1215
88,54581,Cat Gut Chromic - Gauge 2.0(4/0) 75cm on 15mm 1/2 Circle Round Bodied Needle,Dozen,1388
89,53945,Cat Gut Chromic - gauge 3.0 (3/0) 75cm on 25mm 1/2 circle round bodied needle,Dozen,0
90,56429,Cat Gut Chromic - Gauge 3.0(3/0) 75cm on 25mm 1/2 Circle Reverse Cutting Needle,Dozen,1383
91,59215,Cat Gut Chromic - Gauge 3.5(2/0) 75cm on 27mm ½  Circle Reverse Cutting Needle,Dozen,3283
92,54703,Cat Gut Chromic - Gauge 3.5(2/0) 75cm on 27mm 1/2 Circle Round Bodied Needle,Dozen,6000
93,56431,Cat Gut Chromic - Gauge 4.0(0) 75cm on 30mm 1/2 Circle Reverse Cutting Needle,Dozen,1020
94,54583,Cat Gut Chromic - Gauge 4.0(0) 75cm on 30mm 1/2 Circle Round Bodied Needle,Dozen,1366
95,56432,Cat Gut Chromic - Gauge 5.0(1) 75cm on 48mm 1/2 Circle Reverse Cutting Needle,Dozen,0
96,54949,Cat Gut Chromic - Gauge 5.0(1) 75cm on 48mm 1/2 Circle Round Bodied Needle,Dozen,1616
97,55463,Cat Gut Chromic - Gauge 6.0(2) 75cm on 35mm 1/2 Circle Round Bodied Needle,Dozen,2394
98,54694,Catheter Condom Latex Medium - 28mm,Each,1998
99,55069,Catheter Foley Silconized Latex Three Ways - 30-50ml Balloon 18CH,Each,39177
100,54303,Catheter Foley Silconized Latex Three Ways - 30-50ml Balloon 22CH,Each,5927
101,55071,Catheter Foley Silconized Latex Three Ways - 30-50ml Balloon 24CH,Each,6915
102,56546,Catheter Foley Silconized Latex Three Ways - 5-15ml Balloon 10CH,Each,1116
103,55068,Catheter Foley Silconized Latex Two Ways - 30-50ml Balloon 16CH,Each,23315
104,54302,Catheter Foley Silconized Latex Two Ways - 30-50ml Balloon 20CH,Each,4269
105,54308,Catheter Foley Silconized Latex Two Ways - 5-15ml Balloon 12CH,Each,1644
106,54938,Catheter Foley Silconized Latex Two Ways - 5-15ml Balloon 14CH,Each,5963
107,55569,Catheter Foley Silconized Latex Two Ways - 5-15ml Balloon 8CH,Each,1132
108,57290,"Catheter Nasal Oxygen, Adult - ",Each,8098
109,57291,"Catheter Nasal Oxygen, Paediatric - ",Each,3956
110,56585,Catheter Suction - 14CH,100,438
111,55189,Catheter Suction - 22CH,100,454
112,55697,Catheter Suction - 6CH,100,304
113,56586,Catheter Suction - 8CH,100,253
114,64479,Catheter Ureteral - 6CH,Each,156
115,64480,Catheter Ureteral - 8CH,Each,173
116,56844,Cefepime - 1gm in Vial - Powder for Injection with Diluent,Each,17568
117,63633,Cefixime - 400mg - Capsule,7x2,5325
118,55133,Ceftazidime - 1g in vial - Powder for Injection with Diluent,Each,62050
119,56837,Ceftriaxone - 0.5g in Vial - Powder for Injection with Diluent,Each,65350
120,56831,Ceftriaxone - 1g in vial - Powder for Injection with Diluent,Each,1175473
121,484,Cephalexine - 250 mg/5ml - Oral Suspension,100 ml,30491
122,397,Cephalexine - 500mg - Capsule,10x10,27934
123,59060,Cerclage Wire - 1.0 Diameter with 10m length,Each,76
124,59062,Cerclage Wire - 1.8 Diameter with 10m length,Each,48
125,253,Cetrizine - 10mg - Tablet,10x10,2839
126,57357,Chemical - Acetone Alcohol - 50% -  - Solution,500ml,654
127,57396,Chemical - Alcohol Denatured - 70% - ,1L,23327
128,55493,Chemical - Barium Chloride Hydrate -  - Powder,500gm,245
129,54863,Chemical - Barium Sulphate -  - Powder,175gm,155
130,54640,Chemical - Benzoic Acid - ,500gm,213
