PURCHASE_ORDER_NUMBER,PO_CREATED_DATE,SUPPLIER_NUMBER,SUPPLIER_NAME,PO_ITEM_COUNT,PO_VALUE_ETB,CONTRACT_AGREEMENT_RECEIVED_FROM_SUPPLIER_DATE,LC_CAD_OPENED_DATE,FIRST_INBOUND_DELIVERY_CREATED_DATE,LATEST_INBOUND_DELIVERY_CREATED_DATE,INBOUND_DELIVERY_COUNT,FIRST_PARTIAL_GRV_DATE,LATEST_GRV_DATE,FULL_DELIVERY_DATE,GRV_ROW_COUNT,DISTINCT_GRV_PO_ITEM_COUNT,SCHEDULE_LINE_COUNT,SCHEDULED_QUANTITY,RECEIVED_QUANTITY,REDUCED_OR_CANCELLED_QUANTITY,OPEN_QUANTITY,CURRENT_MILESTONE_STATUS,CONTRACT_TO_PO_DAYS,PO_TO_LC_CAD_OPEN_DAYS,LC_CAD_OPEN_TO_INBOUND_CREATED_DAYS,INBOUND_CREATED_TO_PARTIAL_GRV_DAYS,PARTIAL_GRV_TO_FULL_DELIVERY_DAYS,LEADTIME_DATA_QUALITY_STATUS,REPORTING_CURRENCY
4500004529,2025-05-12,20000792,Phoenix Medical Systems Private Lim,2,"482,476,529.57",2025-07-18,2025-11-21,2026-06-25,2026-07-03,3,2026-07-02,2026-07-06,2026-07-06,4,2,2,"1,402","1,402","1,402",0,FULLY_DELIVERED_WITH_GRV_DATE,-67,193,216,7,4,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500012043,2026-06-10,10001962,Bahita Hailu Gebreyohans/Lemamat Tr,1,"458,156,906",2026-09-01,[NULL],2026-06-22,2026-06-30,2,2026-06-22,2026-07-01,[NULL],3,1,1,"510,197","81,980","81,980","346,237",PARTIALLY_RECEIVED_WITH_GRV_DATE,-83,[NULL],[NULL],0,[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004625,2025-05-14,20000260,Tenama International FZ-LLC,2,"379,239,554.07",2025-07-10,2026-02-03,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],2,"10,260,136",0,0,"10,260,136",AWAITING_SHIPMENT,-57,265,[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004538,2025-05-13,20000218,BOSTON MEDICAL FZE.,2,"377,827,112.28",2025-07-03,2025-09-22,2025-11-28,2026-01-06,2,2025-12-01,2026-02-10,2026-02-10,2,2,2,"59,671","59,543","59,543",0,FULLY_DELIVERED_WITH_GRV_DATE,-51,132,67,3,71,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004659,2025-05-15,20000372,Ida Foundation,1,"326,641,272.29",2025-06-23,2025-12-17,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],10,"110,610",0,0,"110,610",AWAITING_SHIPMENT,-39,216,[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004665,2025-05-15,20000372,Ida Foundation,1,"235,331,733.02",2025-06-23,2025-12-17,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],10,"79,690",0,0,"79,690",AWAITING_SHIPMENT,-39,216,[NULL],[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500009348,2026-01-13,10000745,Humanwell Pharmaceutical Ethiopia P,2,"231,746,900",2026-12-01,[NULL],2026-03-09,2026-03-09,1,2026-03-11,2026-03-11,[NULL],8,1,2,"261,122","122,400","122,400","16,322",PARTIALLY_RECEIVED_WITH_GRV_DATE,-322,[NULL],[NULL],2,[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004087,2025-04-08,20000764,Guangzhou Double One Latex Products,1,"177,944,860.82",2025-06-18,2025-10-10,2026-03-04,2026-03-05,7,2026-03-07,2026-03-25,2026-03-25,81,1,1,"256,944","256,174","256,174",0,FULLY_DELIVERED_WITH_GRV_DATE,-71,185,145,3,18,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500002017,2024-10-24,20000691,Aquatain products PTY LTD,1,"170,432,380.80",2024-11-01,2025-04-23,2025-10-15,2025-10-15,1,2025-10-15,2025-10-15,2025-10-15,1,1,1,"4,400","4,400","4,400",0,FULLY_DELIVERED_WITH_GRV_DATE,-8,181,175,0,0,CONTRACT_TO_PO_DATE_ISSUE,ETB
4500004569,2025-05-13,20000511,B Medical System - Luxembourg,2,"161,769,641.71",2025-08-18,2026-03-24,2026-07-17,2026-07-17,2,[NULL],[NULL],[NULL],[NULL],[NULL],4,756,0,210,546,AWAITING_RECEIPT,-97,315,115,[NULL],[NULL],CONTRACT_TO_PO_DATE_ISSUE,ETB
