PURCHASE_ORDER_NUMBER,PO_DOCUMENT_DATE,SUPPLIER_NUMBER,SUPPLIER_NAME,PO_VALUE_ETB,OPEN_VALUE_ETB,PERFORMANCE_GUARANTEE_SUBMISSION_DATE,PERFORMANCE_GUARANTEE_RECEIVED_DATE,PERFORMANCE_GUARANTEE_EXPIRY_DATE,DAYS_TO_EXPIRY,PERFORMANCE_BOND_STATUS,REPORTING_CURRENCY
4500000117,2024-06-14,10000745,Humanwell Pharmaceutical Ethiopia P,"4,573,043,201","4,573,043,201",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500012362,2026-06-23,20000474,Yuil & Kop Consortium,"4,201,560,075.45","4,201,560,075.45",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500010995,2026-04-14,10001535,HILINA ENRICHED FOODS PLC,"2,657,382,000","2,657,382,000",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500012239,2026-06-18,20000474,Yuil & Kop Consortium,"2,022,392,580","2,022,392,580",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500012237,2026-06-18,20000474,Yuil & Kop Consortium,"1,579,141,567.20","1,579,141,567.20",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500010289,2026-03-06,20000372,Ida Foundation,"1,049,404,152.89","1,049,404,152.89",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500011773,2026-05-28,10001535,HILINA ENRICHED FOODS PLC,"885,794,000","885,794,000",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500011774,2026-05-28,10001535,HILINA ENRICHED FOODS PLC,"885,794,000","885,794,000",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500011772,2026-05-28,10001535,HILINA ENRICHED FOODS PLC,"885,794,000","885,794,000",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500011969,2026-06-08,10000746,Sansheng Pharmaceutical Plc,"765,950,400","765,950,400",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500004191,2025-04-11,1002552,Elsmed Healthcare Solution Ltd Ethi,"762,315,301.05","762,315,301.05",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500011440,2026-05-13,20000260,Tenama International FZ-LLC,"748,862,253.36","748,862,253.36",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500006233,2025-08-01,10000744,Ethiopian Pharmaceuticals Manufactu,"723,076,227","723,076,227",[NULL],[NULL],2026-08-05,15,MISSING,ETB
4500012044,2026-06-10,10001962,Bahita Hailu Gebreyohans/Lemamat Tr,"687,235,808","687,235,808",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500006196,2025-07-30,10000744,Ethiopian Pharmaceuticals Manufactu,"753,935,448","685,943,092",[NULL],[NULL],2026-08-05,15,MISSING,ETB
4500011039,2026-04-17,20000372,Ida Foundation,"635,544,247.63","635,544,247.63",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500001371,2024-08-23,20000410,Mylan Laboratories Ltd.,"605,372,926.50","605,372,926.50",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
4500007379,2025-10-07,10000748,Addis Pharmaceutical Factory Sc.,"603,186,611.50","603,186,611.50",[NULL],[NULL],[NULL],[NULL],MISSING,ETB
