ProductCN,SS,SOH,AMC,MOS,QuantityPurchaseOrder,GIT,Min,Max
Alb-400.,Below EOP,"65,957","29,540",2.2,359218,0,"177,243","384,026"
Amox-125.,Below EOP,817,"1,649",0.5,0,0,"9,897","21,443"
Amox-250,Normal,"43,493,200","4,080,748",10.7,366351,0,"24,484,488","53,049,723"
Ampicillin Sodium,Stocked Out,0,"3,890",0,0,0,"23,343","50,576"
Ceft,Stocked Out,0,0,0,0,0,0,0
Chlo,Excess,"1,417,330","4,338",326.7,0,0,"26,030","56,397"
CIPROFTA1,Excess,"131,201","9,189",14.3,0,0,"55,136","119,462"
Ge10,Normal,"37,487","4,520",8.3,0,0,"27,122","58,765"
ORS.,Excess,"22,971",0,"164,842.9",91803,0,1,2
Syringe (Disposable),Excess,"36,168","1,749",20.7,0,0,"10,496","22,741"
TTC,Excess,"5,994,350","122,077",49.1,0,0,"732,463","1,587,003"
Vit485,Excess,"519,045","13,313",39,0,0,"79,879","173,072"
Zinc Sulphate,Excess,"455,450","6,987",65.2,0,0,"41,925","90,837"
Zinc.,Stocked Out,0,425,0,0,0,"2,548","5,521"
Zinc-ORS-Co-Pack,Stocked Out,0,"172,310",0,0,0,"1,033,859","2,240,028"
