,Site,TTC,CIPROFTA1,Alb-400.,Amox-250,Ge10,Chlo,ORS.,Amox-125.,Vit485,Syringe (Disposable),Zinc Sulphate
1,Adama Hub,"415,114","4,996","20,007",0,143,0,"1,314",0,"5,023","4,977","4,515"
2,Bahir Dar Hub,"264,860","3,719","3,500","1,000,000",579,"11,884","1,016",0,"13,349","5,262","3,387"
3,Home Office,"3,439,989","91,066","17,642","37,706,600","32,702","1,264,930","8,137",0,"414,883",0,"406,542"
4,Dessie Hub,"35,522","6,000",870,"326,000",423,"8,458",566,20,"2,368","3,951","3,511"
5,Dire Dawa Hub,"263,923","1,970",30,"886,800",423,"7,313","2,622",0,382,50,297
6,Gondar Hub,"77,770","2,103","2,989","243,100",494,"4,143",883,4,"12,183",600,172
7,Addis Ababa Hub,"492,863","2,780",464,"419,900",419,"18,471","1,432",35,81,660,"8,390"
8,Hawassa Hub,"204,292","2,328","5,853","150,800",545,"29,523","1,187",0,"32,663","1,161",0
9,Jimma Hub,"217,731","4,143","7,177","491,700",391,"9,768",344,0,36,0,"1,932"
10,Mekele Hub,"6,934","1,326",0,0,0,349,99,0,"12,907","4,873","4,410"
11,Negele Borena Hub,"83,976","1,368","1,841","2,300",0,"4,834",574,40,"2,941","6,025","1,061"
12,Nekemte Hub,"126,210","2,000",559,"780,100",0,"21,753","1,281",0,"1,526",190,"3,576"
13,Shire Hub,"25,650","2,000",10,"10,800",0,440,0,250,"4,053",0,"1,204"
14,Gambella Hub,"4,866",110,12,"66,200",147,"1,583",50,0,"1,819",455,"1,152"
15,Assosa Hub,"4,115",310,89,0,298,700,14,0,8,0,0
16,Arba Minch Hub,"263,561",0,"1,734","184,100",52,"6,307","1,535",0,"1,507","2,875","1,767"
17,Semera Hub,174,660,248,0,274,"6,684",280,0,"4,915","4,126",745
18,Jigjiga Hub,"21,799",904,110,"222,800",269,"8,072",60,0,"4,935",731,"3,264"
19,Addis Ababa [2] Hub,"28,999","2,827","2,586","728,400",328,"9,991","1,108",0,"2,071",0,"4,037"
20,Kebri Dehar Hub,"16,002",591,237,"273,600",0,"2,127",468,468,"1,395",232,"5,488"
