label,PO No,PO Type,Invoice No,Tender No,1,2,3,4,5,6,7,8,Days Consumed,Days Remaining,Days Saved
,007625,FCA,N3431&N3432,ICB/EPSA6/MOH-GF/OI/NFMIII/PH/04/23,-37,-23,-42,,,,,,1898,-1816,-1816
,007626,FOB,N2765,ICB/EPSA6/MOH-GF/OI/NFMIII/PH/04/23,-37,-79,0,,,,,,1954,-1872,-1872
,007620,FOB,386/2023-24,ICB/EPSA6/MOH-GF/OI/NFMIII/PH/04/23,-19,-101,5,,,,,,1956,-1874,-1874
,007643,FOB,393/2023-24,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-16,-1039,,,,,,,2868,-2786,-2801
,007643,FOB,394/2023-24,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-16,-1039,,,,,,,2868,-2786,-2801
,007643,FOB,423/2023-24,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-16,-1039,,,,,,,2859,-2777,-2792
,007682,FCA,IP2300619-1,call off:- EPSA6/RT2/FW/GF-HAPCO /HIV RTK/LR/01/22,-123,-23,5,,,,,,1885,-1803,-1803
,007682,FCA,IP2300619-2,call off:- EPSA6/RT2/FW/GF-HAPCO /HIV RTK/LR/01/22,-123,-23,5,,,,,,1873,-1791,-1791
,007683,FCA,SCI/242/23-24,call off:- EPSA6/RT2/FW/GF-HAPCO /HIV RTK/LR/01/22,-198,5,2,,,,,,1870,-1788,-1788
,007684,FCA,167477,Call off;- EPSA6/RT2/FW/GF-HAPCO/HIV RTK/LR/01/22,-123,-23,5,,,,,,1869,-1787,-1787
,007640,FCA,206001167, ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-35,-185,-15,,,,,,1807,-1725,-1725
,007664,FCA,SI3623226593,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-22,-119,11,,,,,,1934,-1852,-1852
,007665,FOB,SI3623227803,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-22,-119,10,,,,,,1898,-1816,-1816
,007667,FOB,N2685,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-20,-104,4,,,,,,1910,-1828,-1828
,007667,FOB,N3580,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-20,-104,4,,,,,,1871,-1789,-1789
,007670,FCA,MH2712306333,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-16,-106,10,,,,,,1913,-1831,-1831
,007671,FOB,MH2712306305/MP2312302591,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-16,-106,9,,,,,,1906,-1824,-1824
,007671,FOB,MH2712306335,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-16,-106,9,,,,,,1881,-1799,-1799
,007676,FOB,MP2312302396,ICB/FW/EPSA6/GF-MOH/NFMIII/ARV/PH/01/23,-27,-94,12,,,,,,1925,-1843,-1843
