label,PO No,PO Type,Invoice No,Tender No,1,2,3,4,5,6,7,8,Days Consumed,Days Remaining,Days Saved
,007646,FOB,"HI/23-24/078,HI/23-24/079,GST/23-24/125",ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-70,-107,-87,1,6,1,-738,,1118,-992,-994
,007647,FOB,HI/23-24/072,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-70,-107,-51,37,13,-17,-763,,1082,-956,-958
,007648,FOB,,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-1060,,,,,,,,1061,-935,-1060
,007621,FOB,,ICB/EPSA6/MOH-GF/OI/NFMIII/PH/04/23,-17,-1029,,,,,,,1062,-936,-1046
,007634,FOB,,ICB/EPSA6/SDG-MOH/MD/Maxillo/03/23,-23,-1022,,,,,,,1061,-935,-1045
,007644,FOB,90028552-C,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-19,-134,-102,-11,-752,,,-1,1132,-1006,-1019
,007645,FOB,EXPD/23-24/055,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-19,-31,-57,41,13,-3,-7,0,189,-63,-63
,007657,FCA,,ICB/EPSA6/RDF-R/PH/10/21,-26,-1018,,,,,,,1060,-934,-1044
,007632,FCA,, ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-156,-882,,,,,,,1054,-928,-1038
,007633,FCA,RI-34/23,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-156,11,-85,-21,-4,-756,,-9,1144,-1018,-1020
,007635,FCA,,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-156,-882,,,,,,,1054,-928,-1038
,007636,FCA,,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-156,-882,,,,,,,1054,-928,-1038
,007637,FOB,, ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-41,-998,,,,,,,1055,-929,-1039
,007638,FCA,, ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-1053,,,,,,,,1054,-928,-1053
,007641,FCA,206001178, ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-35,-175,-814,-741,,,,,1851,-1725,-1765
,007655,FOB,,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-63,-247,-714,,,,,,1055,-929,-1024
,007668,FOB,ML2547/23-24,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-16,-173,-11,36,-800,,,0,1077,-951,-964
,007656,FOB,,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-1053,,,,,,,,1054,-928,-1053
,007669,FOB,EM2320020656,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-14,-3,-154,-28,-6,-811,,1,1139,-1013,-1015
,007662,FOB,,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-1053,,,,,,,,1054,-928,-1053
,007652,FOB,,ICB/EPSA6/RDF-R& SDG 2015/MS/LS/14/22,-36,-121,-867,-783,,,,,1893,-1767,-1807
,007653,FOB,,ICB/EPSA6/RDF-R& SDG 2015/MS/LS/14/22,-36,-1002,,,,,,,1054,-928,-1038
,007658,FOB,, ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-36,-1002,,,,,,,1054,-928,-1038
,007654,FOB,1528A,ICB/EPSA6/RDF-R& SDG 2015/MS/LS/14/22,-63,-103,-64,-1,-770,,,0,1114,-988,-1001
,007659,FOB,, ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-36,-1002,,,,,,,1054,-928,-1038
,007675,FOB,90028552-A,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-22,-124,-102,-11,-752,,,-1,1125,-999,-1012
,007660,FOB,,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-199,0,-825,-757,,,,,1867,-1741,-1781
,007661,FOB,,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-1053,,,,,,,,1054,-928,-1053
,007627,FCA,,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-1053,,,,,,,,1054,-928,-1053
,007676,FOB,MP2312302410/12,ICB/FW/EPSA6/GF-MOH/NFMIII/ARV/PH/01/23,-27,-84,-60,-17,-9,6,-1,1,317,-191,-191
,007642,FOB,,ICB/EPSA6/RDF-R& SDG 2015/MS/LS/14/22,-37,-1001,,,,,,,1054,-928,-1038
,007649,FCA,,ICB/EPSA6/RDF-R& SDG 2015/MS/LS/14/22,-1052,,,,,,,,1053,-927,-1052
,007622,FOB,SY23W0021,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-22,-15,-97,7,-46,6,-1,-1,295,-169,-169
,007631,FOB,,ICB/EPSA6/RDF-R& SDG 2015/MS/LS/14/22,-139,-43,-841,,,,,,1054,-928,-1023
,007687,FOB,1528B,ICB/EPSA6/RDF-R& SDG 2015/MS/LS/14/22,-61,-103,-64,-1,-770,,,0,1112,-986,-999
,007687,FOB,1530,ICB/EPSA6/RDF-R& SDG 2015/MS/LS/14/22,-61,-103,-80,-17,-753,,,-1,1128,-1002,-1015
,007688,FOB,,ICB/EPSA6/RDF-R& SDG 2015/MS/LS/14/22,-61,-975,,,,,,,1052,-926,-1036
,007663,FOB,,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-39,-304,-679,,,,,,1053,-927,-1022
,007689,FCA,,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-1051,,,,,,,,1052,-926,-1051
,007685,FCA,,Call off ICB/PFSA6/RDF/FW/PLACEMENT/LR/20/18,-7,-160,-849,-673,,,,,1775,-1649,-1689
,007681,FOB,"N3128, N3391",ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-12,-100,-52,-6,-6,-811,,1,1110,-984,-986
,007681,FOB,N3362,ICB/FW/EPSA6/GF-HAPCO/NFMIII/ARV/OI/PH/03/22,-12,-100,-52,-6,-6,-811,,2,1109,-983,-985
,007693,FCA,N3280,EPSA6/RT2/FW/MOH-GF-TB-Kit/PH/01/21,-11,-112,-40,14,-6,9,-5,0,277,-151,-151
,007693,FCA,N3357,EPSA6/RT2/FW/MOH-GF-TB-Kit/PH/01/21,-11,-112,-67,-13,-9,7,-6,0,337,-211,-211
,007690,FCA,,ICB/EPSA6/MOH-SDG-MOFED/FH/PH/15/22,-21,-7,-987,-872,,,,,1973,-1847,-1887
,007694,FOB,,PFSA6/RT-2/RDF/MI/04/18 (Split from 007146 for ALE,-239,-86,-690,,,,,,1046,-920,-1015
,007606,FOB,EXP/23-24/262,ICB/EPSA6/RDF-R/PH/02/21(Refill Order from PO No.0,-18,-103,-67,-6,18,-806,,1,1105,-979,-981
,007706,FOB,,PFSA6/DT/MoH-Covid-19/Bed/MI/19/20 ( Alert HP Spli,-1039,,,,,,,,1040,-914,-1039
,007711,FOB,0918,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-16,-123,-101,-25,-744,,-721,,1843,-1717,-1730
,007712,FOB,,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-16,-282,-711,,,,,,1040,-914,-1009
,007728,FOB,,PSA6/DT/MOH-COVID-19/Bed/MI/19/20 (Refill from 005,-1036,,,,,,,,1037,-911,-1036
,007729,FOB,,PFSA6/RT-2/RDF/MI/04/18 (Split from 007146),-1036,,,,,,,,1037,-911,-1036
,007730,FOB,,ICB/EPSA6/RDF-R &SDG 2015/MS/LS/14/22,-18,-121,-867,-783,,,,,1875,-1749,-1789
,007609,FOB,,ICB/EPSA6/RDF-R/PH/02/22(Refill Order from PO 0069,-20,-265,-718,-657,,,,,1746,-1620,-1660
,007630,FOB,,ICB/EPSA6/RDF-R& SDG 2015/MS/LS/14/22,-116,-899,,,,,,,1031,-905,-1015
,007650,FOB,, ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-1022,,,,,,,,1023,-897,-1022
,007731,FOB,,ICB/EPSA6/RDF-R &SDG 2015/MS/LS/14/22,-1021,,,,,,,,1022,-896,-1021
,007732,FOB,TNRP67092,ICB/EPSA6/MOH-GF/NFMIII/MRDT/condom/LR/05/23,-82,40,-143,-14,-5,-762,,-1,1091,-965,-967
,non standard so23000486,FOB,,non standard so23000486,-997,,,,,,,,998,-872,-997
