PurchaseOrderNumber,ProductCN,Donor,OrderQuantity,NextDeliveryQuantity,DeliveredQuantity,Pending
DRO-2024-001,Water Purif Tabs,UNICEF,"500,000","500,000",0,100
DRO-2024-002,ORS,UNICEF,"280,000","280,000",0,100
DRO-2024-003,RUTF,WFP,"120,000","120,000","45,000",62
DRO-2024-004,Vit A,UNICEF,"600,000","600,000",0,100
DRO-2024-005,Zinc,UNICEF,"300,000","300,000",0,100
DRO-2024-006,EHK,WHO,"15,000","8,000","7,000",53
DRO-2024-007,Malaria RDT,Global Fund,"380,000","380,000",0,100
DRO-2024-008,IV Fluids,WHO,"40,000","28,000","12,000",70
DRO-2024-009,Amox-250,MOH,"85,000","77,000","8,000",91
DRO-2024-010,Measles Vaccine,UNICEF,"50,000","30,000",0,60
DRO-2024-011,Water Purif Tabs,WHO,"200,000","200,000",0,100
DRO-2024-012,ORS,WHO,"150,000","150,000",0,100
DRO-2024-013,RUTF,UNICEF,"80,000","80,000","20,000",75
DRO-2024-014,Malaria RDT,MOH,"150,000","150,000",0,100
DRO-2024-015,Zinc,WHO,"120,000","120,000",0,100
