RowNumber,FullDate,ProductCN,Manufacturer,Country,QuantityReceived,AmountReceivedBirr
1,"June 15th, 2026",ORS,Universal Corporation Limited,Kenya,"38,000",4560000
2,"June 12th, 2026",Water Purif Tabs,AquaTab Ltd,India,"250,000",7500000
3,"June 10th, 2026",RUTF,Edelweiss Nutrition,France,"22,000",13200000
4,"June 8th, 2026",Vit A,DSM Nutritional Products,Switzerland,"105,000",2100000
5,"June 5th, 2026",Zinc,Nutriset SAS,France,"45,000",2250000
6,"June 3rd, 2026",Malaria RDT,SD Biosensor,Korea,"42,000",2940000
7,"May 28th, 2026",Amox-250,Scott Edil Pharmacia Ltd,India,"10,500",1575000
8,"May 25th, 2026",IV Fluids,Baxter Healthcare,USA,"5,200",2080000
9,"May 22nd, 2026",Water Purif Tabs,Medentech,Ireland,"120,000",3600000
10,"May 18th, 2026",ORS,Orion Healthcorp,India,"28,000",3360000
11,"May 15th, 2026",RUTF,Edelweiss Nutrition,France,"15,000",9000000
12,"May 12th, 2026",Malaria RDT,Access Bio,Korea,"35,000",2450000
13,"May 8th, 2026",Vit A,DSM Nutritional Products,Switzerland,"85,000",1700000
14,"May 5th, 2026",Zinc,Nutriset SAS,France,"38,000",1900000
15,"May 1st, 2026",EHK,International Dispensary Association,Netherlands,"3,500",5250000
