MANDT,EBELN,EBELP,ETENR,PO_DOCUMENT_DATE,PO_TYPE,SUPPLIER_NUMBER,SUPPLIER_NAME,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_TYPE_DESCRIPTION,PLANT,ORDER_UNIT,ITEM_NET_VALUE_ETB,HEADER_DELETION_INDICATOR,ITEM_DELETION_INDICATOR,RETURN_ITEM_INDICATOR,DELIVERY_COMPLETED_INDICATOR,FINAL_INVOICE_INDICATOR,SCHEDULED_DELIVERY_DATE,SCHEDULED_QUANTITY,RECEIVED_QUANTITY,REDUCED_QUANTITY,OPEN_SCHEDULE_QUANTITY,OPEN_OVERDUE_STATUS,OPEN_SCHEDULE_VALUE_ETB
100,4500000050,10,1,2024-06-11,ZRDI,20000264,United Pharma (K) Limited,115-ZOLE-0301,Zoledronic acid-4mg/5ml in 5ml Amp-Inj,ZME,Medicine,HO01,AM,"359,444.32",[NULL],[NULL],[NULL],X,[NULL],2024-10-29,"1,609","1,609","1,609",0,DELIVERY_COMPLETED,0
100,4500000065,10,1,2024-06-13,ZHP1,20000259,Tagros Chemicals India Ltd.,209-CLOT-0201,Clothianidin 50%W/W - 150g of 1 Sachet,ZLC,Laboratory commodity,HO01,SAC,"196,223,266.27",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-14,"573,865",0,0,"573,865",OPEN_OVERDUE,"196,223,266.27"
100,4500000587,20,1,2024-06-16,ZHP1,20000316,Ajanta Pharma Ltd.,104-ARLU-0104-02,Artemether+Lumefan-140mg (6x4)-Tab of 30,ZME,Medicine,HO01,PAK,"21,664,178.34",[NULL],[NULL],[NULL],[NULL],[NULL],2024-10-03,"24,060",0,0,"24,060",OPEN_OVERDUE,"21,664,178.34"
100,4500000587,10,1,2024-06-16,ZHP1,20000316,Ajanta Pharma Ltd.,104-ARLU-0102-02,Artemether+Lumefan-140mg (6x2)-DT of 30,ZME,Medicine,HO01,PAK,"5,313,635.71",[NULL],[NULL],[NULL],[NULL],[NULL],2024-10-03,"8,400",0,0,"8,400",OPEN_OVERDUE,"5,313,635.71"
100,4500000048,10,1,2024-06-10,ZRDI,20000220,Cadila Health care,103-SALB-2401,Salbutamol 0.1mg/dose Oral Inhal of200md,ZME,Medicine,HO01,BOT,"18,921,561",[NULL],[NULL],[NULL],[NULL],[NULL],2024-10-28,"228,981","105,664","105,664","17,653",OPEN_OVERDUE,"1,458,733.77"
100,4500000581,20,1,2024-06-08,ZHP1,10000742,Quality Medical FZC,404-VENM-OXSE,Mechanical ventilator S.P - Oxy Sensor,ZMD,Medical Device,HO01,EA,"475,867.88",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,6,0,0,6,OPEN_OVERDUE,"475,867.88"
100,4500000581,40,1,2024-06-08,ZHP1,10000742,Quality Medical FZC,404-VENM-DIBO,Mechanical ventilator S.P- Display board,ZMD,Medical Device,HO01,EA,"58,603.29",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,1,0,0,1,OPEN_OVERDUE,"58,603.29"
100,4500000581,70,1,2024-06-08,ZHP1,10000742,Quality Medical FZC,404-XRRD-LEAP,C Arm Spare part - Lead Apron. - 718131,ZMD,Medical Device,HO01,EA,"120,189.38",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,1,0,0,1,OPEN_OVERDUE,"120,189.38"
100,4500000581,90,1,2024-06-08,ZHP1,10000742,Quality Medical FZC,404-VENM-OXWT,Mechanical ventilator S.P - Oxy Wat Trap,ZMD,Medical Device,HO01,EA,"43,044.78",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,1,0,0,1,OPEN_OVERDUE,"43,044.78"
100,4500000581,110,1,2024-06-08,ZHP1,10000742,Quality Medical FZC,404-VENM-OXSE,Mechanical ventilator S.P - Oxy Sensor,ZMD,Medical Device,HO01,EA,"1,732,459.52",[NULL],[NULL],[NULL],[NULL],[NULL],2024-11-01,16,0,0,16,OPEN_OVERDUE,"1,732,459.52"
