,PurchaseOrderNumber,PurchaseOrderType,PurchaseOrderDate,InvoiceNumber,ReceiptInvoiceDate,InvoiceGRNFGap,PAmountGRNFPrint,PAmountGRVPrint
1,007693,FCA,"Aug 2nd, 2023",N3280,"Mar 4th, 2024",0,99.9 %,99.9 %
2,006644,Cost and Freight,"Nov 28th, 2021",P10/30004118,"Dec 20th, 2023",0,0 %,0 %
3,006875,FOB,"Apr 4th, 2022",20220527S201,"Feb 28th, 2024",0,0 %,0 %
4,007896,FCA,"Feb 13th, 2024",7001356815,"May 13th, 2024",0,99.9 %,99.9 %
5,007682,FCA,"Jul 24th, 2023",IP2300619-1,"Feb 29th, 2024",0,99.9 %,99.9 %
6,007842,FCA,"Jan 17th, 2024",740002854,"Jun 13th, 2024",0,99.9 %,99.9 %
7,007951,Cost and Freight,"Mar 11th, 2024",29763,"Jun 25th, 2024",0,100 %,100 %
8,007783,FCA,"Dec 11th, 2023",70013565659,"Apr 8th, 2024",0,0 %,0 %
9,007426,FCA,"May 8th, 2023",U03/23-24/1460&U03/23-24/1462,"Jul 24th, 2023",0,99.9 %,99.9 %
10,007463,FOB,"May 18th, 2023",MP2312302443,"Feb 16th, 2024",0,99.9 %,99.9 %
11,007133,FOB,"Nov 22nd, 2022",N0803/N0863/N0942,"Aug 4th, 2023",0,99.9 %,99.9 %
12,007750,FCA,"Nov 15th, 2023",IP2300696,"Apr 25th, 2024",0,0 %,0 %
13,007771,FCA,"Nov 27th, 2023",SGF2425/EPSS/REL0004 ,"May 24th, 2024",0,0 %,0 %
14,007718,FCA,"Aug 9th, 2023",EXPD/23-24/057,"Dec 11th, 2023",0,99.9 %,99.9 %
15,006644,Cost and Freight,"Nov 28th, 2021",P/10/30003826,"Sep 20th, 2023",0,0 %,0 %
16,007614,FCA,"Jul 6th, 2023",166777,"Dec 22nd, 2023",0,99.8 %,99.8 %
17,007668,FOB,"Jul 25th, 2023",ML2547/23-24,"Mar 15th, 2024",0,99.9 %,99.9 %
18,007611,FCA,"Jul 6th, 2023",IP2300405,"Dec 27th, 2023",0,99.9 %,99.9 %
19,007210,FOB,"Nov 30th, 2022",00007590,"Jul 26th, 2023",0,99.6 %,99.6 %
20,007424,FOB,"Apr 28th, 2023",EM2320020591,"Jan 10th, 2024",0,99.9 %,99.9 %
21,007420,FOB,"May 8th, 2023",MH2712304297/333/MP2312301838,"Nov 21st, 2023",0,99.9 %,99.9 %
22,007335,FCA,"Mar 7th, 2023",N1046,"Jul 27th, 2023",0,99.9 %,99.9 %
23,007681,FOB,"Aug 2nd, 2023","N3128, N3391","Feb 20th, 2024",0,99.9 %,99.9 %
24,007456,FOB,"May 15th, 2023",484/CE/4832,"Apr 29th, 2024",0,99.9 %,99.9 %
25,007413,FOB,"Apr 24th, 2023",EXP/23-24/237/EXP/23-24/238,"Dec 23rd, 2023",0,0 %,0 %
26,007358,CPT,"Mar 23rd, 2023",56686140,"Jun 19th, 2024",0,0 %,0 %
27,007429,FCA,"May 8th, 2023",LLL23240117,"Dec 2nd, 2023",0,99.9 %,99.9 %
28,007732,FOB,"Aug 30th, 2023",TNRP67092,"Apr 11th, 2024",0,99.7 %,99.7 %
29,007344,FOB,"Mar 31st, 2023",AR23-00769,"Jul 17th, 2023",0,99.5 %,99.5 %
30,007919,FCA,"Feb 29th, 2024",EXP/24-25/9300011950,"Jun 17th, 2024",0,99.5 %,99.5 %
31,007771,FCA,"Nov 27th, 2023",SGF2425/EPSS/REL0003,"May 15th, 2024",0,0 %,0 %
32,007804,FCA,"Dec 25th, 2023",740003133/740003144,"Jun 17th, 2024",0,99.9 %,99.9 %
33,007677,FOB,"Jul 25th, 2023",SI9224200498,"May 7th, 2024",0,99.9 %,99.9 %
34,007678,FOB,"Jul 25th, 2023",7001355745/46/47,"Feb 13th, 2024",0,99.9 %,99.9 %
35,007841,FCA,"Jan 17th, 2024",EXP/24-25/9300011924,"Jun 4th, 2024",0,99.9 %,99.9 %
36,007488,FCA,"Jun 22nd, 2023",13-03817816,"Jan 22nd, 2024",0,0 %,0 %
37,007681,FOB,"Aug 2nd, 2023",N3362,"Feb 20th, 2024",0,99.9 %,99.9 %
38,007462,FCA,"May 18th, 2023",MH2712306000,"Jan 23rd, 2024",0,99.9 %,99.9 %
39,007677,FOB,"Jul 25th, 2023",SI3624200623,"May 7th, 2024",0,99.8 %,99.8 %
40,007423,FCA,"May 8th, 2023",MH2712302178/MH2712302173/ MP2312300955,"Jul 25th, 2023",0,99.9 %,99.9 %
41,007320,FCA,"Feb 16th, 2023",N1394,"Aug 23rd, 2023",0,99.9 %,99.9 %
42,007326,FCA,"Mar 3rd, 2023",SY23W0007,"Aug 14th, 2023",0,99.9 %,99.9 %
43,007951,Cost and Freight,"Mar 11th, 2024",29763,"Jun 20th, 2024",0,0 %,0 %
44,007440,FOB,"May 9th, 2023",23DFT07,"Jun 18th, 2024",0,0 %,0 %
45,007418,FOB,"Apr 25th, 2023",9510007059,"Feb 12th, 2024",0,99.9 %,99.9 %
46,007248,FOB,"Dec 14th, 2022",822,"Jul 24th, 2023",0,99.9 %,99.9 %
47,007253,FCA,"Dec 16th, 2022",SI3623224644,"Oct 18th, 2023",0,99.9 %,99.9 %
48,007427,FCA,"May 8th, 2023",6000815289,"Nov 28th, 2023",0,0 %,0 %
49,007669,FOB,"Jul 25th, 2023",EM2320020656,"Feb 21st, 2024",0,99.9 %,99.9 %
50,007693,FCA,"Aug 2nd, 2023",N3357,"Mar 29th, 2024",0,99.9 %,99.9 %
51,007665,FOB,"Jul 25th, 2023",SI3623227803,"Feb 15th, 2024",0,99.9 %,99.9 %
52,006873,FOB,"Apr 4th, 2022",AWW20240306,"Mar 6th, 2024",0,0 %,0 %
53,007420,FOB,"May 8th, 2023",MP2312301098,"Aug 16th, 2023",0,99.9 %,99.9 %
54,007285,CPT,"Jun 21st, 2023",P10/30004427,"Apr 12th, 2024",0,0 %,0 %
55,007468,FOB,"May 19th, 2023",3404/F1,"Nov 24th, 2023",0,0 %,0 %
56,007347,FCA,"Mar 15th, 2023",SI3623221701,"Jul 24th, 2023",0,99.9 %,99.9 %
57,007488,FCA,"Jun 22nd, 2023",13-03817724,"Jan 22nd, 2024",0,0 %,0 %
58,007783,FCA,"Dec 11th, 2023",7001356565,"Apr 17th, 2024",0,99.9 %,99.9 %
59,007293,FOB,"Dec 30th, 2022",AFE/23-24/00186,"Feb 26th, 2024",0,99.9 %,99.9 %
60,007771,FCA,"Nov 27th, 2023",SGF2425/EPSS/REL0005,"May 24th, 2024",0,0 %,0 %
61,007426,FCA,"May 8th, 2023",UO3/23-24/2372,"Sep 15th, 2023",0,99.9 %,99.9 %
62,007676,FOB,"Jul 25th, 2023",MP2312302410/12,"Jan 16th, 2024",0,99.9 %,99.9 %
